sv_id,task_id,func,mo_ta_loi,pub_pass,pub_total,pub_tpr,pub_errors,hid_pass,hid_total,hid_tpr,hid_errors,is_false_positive
SV011,6,factorial,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV012,6,factorial,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",2,10,20.0,"{'SE': 0, 'WA': 8, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV013,7,is_palindrome,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV014,7,is_palindrome,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV015,8,remove_duplicates,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV016,8,remove_duplicates,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV017,9,average,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV018,9,average,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV019,10,to_uppercase,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV020,10,to_uppercase,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",4,10,40.0,"{'SE': 0, 'WA': 6, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV021,11,is_prime,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV022,11,is_prime,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV023,12,sum_even,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV024,12,sum_even,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV025,13,fibonacci,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV026,13,fibonacci,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV027,14,count_words,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV028,14,count_words,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV029,15,sort_list,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV030,15,sort_list,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV031,16,find_min,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",3,10,30.0,"{'SE': 0, 'WA': 7, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV032,16,find_min,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV033,17,is_leap_year,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV034,17,is_leap_year,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV035,18,count_vowels,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV036,18,count_vowels,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV037,19,sum_odd,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",1,3,33.33,"{'SE': 0, 'WA': 2, 'RE': 0, 'TLE': 0, 'MLE': 0}",5,10,50.0,"{'SE': 0, 'WA': 4, 'RE': 1, 'TLE': 0, 'MLE': 0}",False
SV038,19,sum_odd,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV039,20,all_positive,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",1,10,10.0,"{'SE': 0, 'WA': 8, 'RE': 1, 'TLE': 0, 'MLE': 0}",False
SV040,20,all_positive,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV041,21,celsius_to_fahrenheit,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",3,3,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",True
SV042,21,celsius_to_fahrenheit,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV043,22,replace_spaces,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV044,22,replace_spaces,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV045,23,absolute_value,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",3,3,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",True
SV046,23,absolute_value,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV047,24,is_anagram,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV048,24,is_anagram,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV049,25,sum_of_digits,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",3,3,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",True
SV050,25,sum_of_digits,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV051,26,multiply_list,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",3,3,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",True
SV052,26,multiply_list,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV053,27,is_sorted_ascending,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",3,3,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",True
SV054,27,is_sorted_ascending,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV055,28,repeat_string,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV056,28,repeat_string,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV057,29,find_common_elements,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV058,29,find_common_elements,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV059,30,get_list_length,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",3,3,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",True
SV060,30,get_list_length,Lỗi SE - Code bi loi cu phap (Syntax Error) truoc khi chay.,0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV061,31,remove_vowels,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",1,10,10.0,"{'SE': 0, 'WA': 9, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV062,31,remove_vowels,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",1,10,10.0,"{'SE': 0, 'WA': 8, 'RE': 1, 'TLE': 0, 'MLE': 0}",False
SV063,32,get_first_element,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV064,32,get_first_element,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",1,3,33.33,"{'SE': 0, 'WA': 1, 'RE': 1, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 8, 'RE': 2, 'TLE': 0, 'MLE': 0}",False
SV065,33,find_perimeter_rectangle,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",1,10,10.0,"{'SE': 0, 'WA': 9, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV066,33,find_perimeter_rectangle,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV067,34,cube_number,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV068,34,cube_number,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV069,35,count_consonants,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV070,35,count_consonants,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 1, 'RE': 9, 'TLE': 0, 'MLE': 0}",False
SV071,36,starts_with_uppercase,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV072,36,starts_with_uppercase,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV073,37,circle_area,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",2,10,20.0,"{'SE': 0, 'WA': 8, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV074,37,circle_area,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 3, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 10, 'TLE': 0, 'MLE': 0}",False
SV075,38,reverse_list,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,1,3,33.33,"{'SE': 0, 'WA': 2, 'RE': 0, 'TLE': 0, 'MLE': 0}",4,10,40.0,"{'SE': 0, 'WA': 6, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV076,38,reverse_list,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 9, 'RE': 1, 'TLE': 0, 'MLE': 0}",False
SV077,39,gcd,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,1,3,33.33,"{'SE': 0, 'WA': 2, 'RE': 0, 'TLE': 0, 'MLE': 0}",4,10,40.0,"{'SE': 0, 'WA': 6, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV078,39,gcd,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV079,40,trim_string,Lỗi WA - Code chay duoc nhung tra ve ket qua sai (Wrong Answer) vi logic loi.,0,3,0.0,"{'SE': 0, 'WA': 3, 'RE': 0, 'TLE': 0, 'MLE': 0}",3,10,30.0,"{'SE': 0, 'WA': 7, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV080,40,trim_string,"Lỗi RE - Code crash khi chay (Runtime Error) do chia cho 0, loi index, vv.",2,3,66.67,"{'SE': 0, 'WA': 1, 'RE': 0, 'TLE': 0, 'MLE': 0}",7,10,70.0,"{'SE': 0, 'WA': 2, 'RE': 1, 'TLE': 0, 'MLE': 0}",False
SV081,41,filter_positive,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV082,41,filter_positive,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",3,3,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",1,10,10.0,"{'SE': 0, 'WA': 9, 'RE': 0, 'TLE': 0, 'MLE': 0}",True
SV083,42,string_to_list,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV084,42,string_to_list,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",0,3,0.0,"{'SE': 3, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 10, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",False
SV085,43,square_list,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
SV086,43,square_list,"Lỗi HC - Code gian lan hard-code chi de qua public test, luon fail hidden test.",3,3,100.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 0, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 10, 'RE': 0, 'TLE': 0, 'MLE': 0}",True
SV087,44,count_negative,Lỗi TLE - Code lap vo tan gay ra loi qua thoi gian chay (Time Limit Exceeded).,0,3,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 3, 'MLE': 0}",0,10,0.0,"{'SE': 0, 'WA': 0, 'RE': 0, 'TLE': 10, 'MLE': 0}",False
