sv_id,task_id,func,topic,mo_ta_loi,actual_error_type,set1_pass,set1_total,set1_tpr,is_fp_set1,is_fn_set1,set2_pass,set2_total,set2_tpr,is_fp_set2,is_fn_set2,set3_pass,set3_total,set3_tpr,is_fp_set3,is_fn_set3,set4_pass,set4_total,set4_tpr,is_fp_set4,is_fn_set4
SV030,27,last_element,list,Không xử lý list rỗng — IndexError,IndexError,3,3,100.0,True,False,8,9,88.89,False,False,8,9,88.89,False,False,3,9,33.33,False,False
SV031,29,abs_list,list,Quên abs() — trả nguyên giá trị,WA,1,3,33.33,False,False,4,9,44.44,False,False,4,9,44.44,False,False,0,9,0.0,False,False
SV032,30,count_non_space,string,Trả len(s) thay vì đếm không phải khoảng trắng,WA,1,3,33.33,False,False,4,9,44.44,False,False,4,9,44.44,False,False,0,9,0.0,False,False
SV033,31,gcd,string,Trả a thay vì GCD,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False
SV034,33,digit_sum,math,Trả n thay vì tổng chữ số,WA,0,3,0.0,False,False,4,9,44.44,False,False,4,9,44.44,False,False,0,9,0.0,False,False
SV035,34,has_digit,math,Luôn trả False,WA,1,3,33.33,False,False,4,9,44.44,False,False,4,9,44.44,False,False,0,9,0.0,False,False
SV036,35,sum_squares,string,Tính tổng thay vì tổng bình phương,WA,1,3,33.33,False,False,3,9,33.33,False,False,3,9,33.33,False,False,0,9,0.0,False,False
SV037,36,rotate_right,string,Xoay trái thay vì phải,WA,1,3,33.33,False,False,7,9,77.78,False,False,7,9,77.78,False,False,0,9,0.0,False,False
SV038,37,most_frequent,math,Trả phần tử ít nhất thay vì nhiều nhất,WA,1,3,33.33,False,False,2,9,22.22,False,False,2,9,22.22,False,False,0,9,0.0,False,False
SV039,38,is_all_digits,list,Không kiểm tra chuỗi rỗng — sai với '',WA,3,3,100.0,True,False,8,9,88.89,False,False,8,9,88.89,False,False,3,9,33.33,False,False
SV040,40,first_n,string,Lấy n phần tử cuối thay vì đầu,WA,2,3,66.67,False,False,6,9,66.67,False,False,6,9,66.67,False,False,0,9,0.0,False,False
SV041,41,is_perfect,list,"Không xử lý n<=1 — sai với 0,1",WA,3,3,100.0,True,False,8,9,88.89,False,False,8,9,88.89,False,False,4,9,44.44,False,False
SV042,43,list_to_string,list,Dùng khoảng trắng thay vì dấu phẩy,WA,1,3,33.33,False,False,3,9,33.33,False,False,3,9,33.33,False,False,0,9,0.0,False,False
SV043,44,count_vowels,list,Không lowercase — bỏ sót nguyên âm hoa,WA,2,3,66.67,False,False,6,9,66.67,False,False,6,9,66.67,False,False,1,9,11.11,False,False
SV044,46,reverse_list,string,Không đảo ngược — trả nguyên list,WA,1,3,33.33,False,False,4,9,44.44,False,False,4,9,44.44,False,False,0,9,0.0,False,False
SV045,47,all_positive,math,Không xử lý list rỗng — sai với [],WA,3,3,100.0,True,False,8,9,88.89,False,False,8,9,88.89,False,False,3,9,33.33,False,False
SV046,49,starts_with_upper,list,Tràn bộ nhớ (MLE) — Khai báo chuỗi 500MB,MLE,0,3,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False
SV047,50,last_n,list,Quá thời gian (TLE) — Vòng lặp vô hạn,TLE,0,3,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False,0,9,0.0,False,False
SV048,10,to_uppercase,string,(Solution đúng — dùng làm điểm so sánh),AC,3,3,100.0,False,False,9,9,100.0,False,False,9,9,100.0,False,False,9,9,100.0,False,False
SV049,15,sort_list,list,(Solution đúng),AC,3,3,100.0,False,False,9,9,100.0,False,False,9,9,100.0,False,False,9,9,100.0,False,False
SV050,5,count_char,string,(Solution đúng),AC,3,3,100.0,False,False,9,9,100.0,False,False,9,9,100.0,False,False,9,9,100.0,False,False
SV051,51,similar_elements,list,Quá thời gian (TLE) - vòng lặp vô hạn trong similar_elements,TLE,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV052,52,heap_queue_largest,list,Sai logic - trả về None thay vì kết quả đúng trong heap_queue_largest,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV053,53,square_nums,list,square_nums - Solution đúng hoàn toàn,AC,3,3,100.0,False,False,9,9,100.0,False,False,11,11,100.0,False,False,11,11,100.0,False,False
SV054,54,sort_matrix,list,Lỗi thực thi (AttributeError) - gọi thuộc tính không tồn tại trong sort_matrix,AttributeError,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV055,55,test_duplicate,list,Sai logic - trả về None thay vì kết quả đúng trong test_duplicate,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV056,56,find_Max_Num,list,Sai logic - thay đổi dấu cộng thành dấu trừ trong find_Max_Num,WA,0,3,0.0,False,False,1,9,11.11,False,False,1,11,9.09,False,False,0,11,0.0,False,False
SV057,57,count_Substrings,list,Sai logic - thay đổi dấu cộng thành dấu trừ trong count_Substrings,WA,0,3,0.0,False,False,5,9,55.56,False,False,6,11,54.55,False,False,0,11,0.0,False,False
SV058,58,smallest_num,list,smallest_num - Solution đúng hoàn toàn,AC,3,3,100.0,False,False,9,9,100.0,False,False,11,11,100.0,False,False,11,11,100.0,False,False
SV059,59,max_difference,list,Sai logic - thay đổi dấu trừ thành dấu cộng trong max_difference,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV060,60,subject_marks,list,Sai logic - trả về None thay vì kết quả đúng trong subject_marks,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV061,61,pos_count,list,pos_count - Solution đúng hoàn toàn,AC,3,3,100.0,False,False,9,9,100.0,False,False,11,11,100.0,False,False,11,11,100.0,False,False
SV062,62,is_Monotonic,list,Sai logic - thay đổi dấu cộng thành dấu trừ trong is_Monotonic,WA,1,3,33.33,False,False,7,9,77.78,False,False,7,11,63.64,False,False,0,11,0.0,False,False
SV063,63,is_samepatterns,list,is_samepatterns - Solution đúng mặc dù có thay đổi dấu cộng thành dấu trừ (do tính chất đối xứng và chỉ mục âm),AC,3,3,100.0,False,False,9,9,100.0,False,False,11,11,100.0,False,False,11,11,100.0,False,False
SV064,64,find_tuples,list,Sai logic - thay đổi toán tử so sánh == thành != trong find_tuples,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV065,65,word_len,list,Sai logic - trả về None thay vì kết quả đúng trong word_len,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV066,66,merge_dictionaries_three,list,merge_dictionaries_three - Solution đúng hoàn toàn,AC,3,3,100.0,False,False,9,9,100.0,False,False,11,11,100.0,False,False,11,11,100.0,False,False
SV067,67,freq_count,list,Sai logic - trả về None thay vì kết quả đúng trong freq_count,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV068,68,len_log,list,Vượt quá bộ nhớ (MLE) - cấp phát mảng 500MB trong len_log,MLE,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV069,69,find_substring,list,Sai logic - trả về None thay vì kết quả đúng trong find_substring,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV070,70,index_minimum,list,Sai logic - trả về None thay vì kết quả đúng trong index_minimum,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV071,71,is_not_prime,math,Sai logic - thay đổi dấu cộng thành dấu trừ trong is_not_prime,WA,1,3,33.33,False,False,6,9,66.67,False,False,9,12,75.0,False,False,1,12,8.33,False,False
SV072,72,find_Rotations,math,Sai logic - thay đổi dấu cộng thành dấu trừ trong find_Rotations,TypeError,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV073,73,find_Volume,math,Sai logic - trả về None thay vì kết quả đúng trong find_Volume,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV074,74,square_perimeter,math,Lỗi thực thi (IndexError) - vượt quá chỉ mục mảng trong square_perimeter,IndexError,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV075,75,opposite_Signs,math,opposite_Signs - Solution đúng hoàn toàn,AC,3,3,100.0,False,False,9,9,100.0,False,False,12,12,100.0,False,False,12,12,100.0,False,False
SV076,76,is_octagonal,math,Sai logic - thay đổi dấu trừ thành dấu cộng trong is_octagonal,WA,0,3,0.0,False,False,1,9,11.11,False,False,1,12,8.33,False,False,0,12,0.0,False,False
SV077,77,bell_number,math,Lỗi thực thi (NameError) - gọi biến chưa định nghĩa trong bell_number,NameError,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
SV078,78,dif_Square,math,Sai logic - trả về None thay vì kết quả đúng trong dif_Square,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV079,79,is_Diff,math,Sai logic - thay đổi toán tử so sánh == thành != trong is_Diff,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV080,80,tetrahedral_number,math,Sai logic - thay đổi dấu cộng thành dấu trừ trong tetrahedral_number,WA,0,3,0.0,False,False,1,9,11.11,False,False,1,12,8.33,False,False,0,12,0.0,False,False
SV081,81,centered_hexagonal_number,math,Syntax Error - thiếu dấu hoặc lỗi cú pháp trong centered_hexagonal_number,CE,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV082,82,closest_num,math,Sai logic - thay đổi dấu trừ thành dấu cộng trong closest_num,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV083,83,is_undulating,math,Sai logic - thay đổi dấu trừ thành dấu cộng trong is_undulating,IndexError,0,3,0.0,False,False,6,9,66.67,False,False,8,12,66.67,False,False,0,12,0.0,False,False
SV084,84,divisor,math,Sai logic - thay đổi dấu cộng thành dấu trừ trong divisor,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV085,85,decimal_to_binary,math,Sai logic - trả về None thay vì kết quả đúng trong decimal_to_binary,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV086,86,check_integer,math,Sai logic - thay đổi dấu cộng thành dấu trừ trong check_integer,WA,3,3,100.0,True,False,8,9,88.89,False,False,11,12,91.67,False,False,3,12,25.0,False,False
SV087,87,find_char_long,string,Sai logic - trả về None thay vì kết quả đúng trong find_char_long,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV088,88,remove_Occ,string,Lỗi thực thi (ValueError) - ép kiểu sai trong remove_Occ,ValueError,0,3,0.0,False,False,0,9,0.0,False,False,0,12,0.0,False,False,0,12,0.0,False,False
SV089,89,text_lowercase_underscore,string,Sai logic - thay đổi dấu cộng thành dấu trừ trong text_lowercase_underscore,WA,2,3,66.67,False,False,8,9,88.89,False,False,10,12,83.33,False,False,0,12,0.0,False,False
SV090,90,get_Char,string,Sai logic - thay đổi dấu cộng thành dấu trừ trong get_Char,WA,0,3,0.0,False,False,1,9,11.11,False,False,1,12,8.33,False,False,0,12,0.0,False,False
SV091,91,snake_to_camel,string,Sai logic - trả về None thay vì kết quả đúng trong snake_to_camel,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,13,0.0,False,False,0,13,0.0,False,False
SV092,92,odd_Equivalent,string,Sai logic - thay đổi dấu cộng thành dấu trừ trong odd_Equivalent,WA,0,3,0.0,False,False,3,9,33.33,False,False,4,13,30.77,False,False,0,13,0.0,False,False
SV093,93,find_length,string,Sai logic - thay đổi dấu cộng thành dấu trừ trong find_length,WA,0,3,0.0,False,False,1,9,11.11,False,False,1,13,7.69,False,False,0,13,0.0,False,False
SV094,94,long_words,string,Sai logic - thay đổi toán tử so sánh > thành < trong long_words,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,13,0.0,False,False,0,13,0.0,False,False
SV095,95,reverse_vowels,string,Sai logic - thay đổi dấu cộng thành dấu trừ trong reverse_vowels,TypeError,0,3,0.0,False,False,1,9,11.11,False,False,1,13,7.69,False,False,0,13,0.0,False,False
SV096,96,count_char_position,string,Sai logic - thay đổi dấu cộng thành dấu trừ trong count_char_position,WA,0,3,0.0,False,False,4,9,44.44,False,False,4,13,30.77,False,False,0,13,0.0,False,False
SV097,97,odd_values_string,string,Sai logic - thay đổi dấu cộng thành dấu trừ trong odd_values_string,TypeError,0,3,0.0,False,False,1,9,11.11,False,False,1,13,7.69,False,False,0,13,0.0,False,False
SV098,98,replace_blank,string,Syntax Error - thiếu dấu hoặc lỗi cú pháp trong replace_blank,CE,0,3,0.0,False,False,0,9,0.0,False,False,0,13,0.0,False,False,0,13,0.0,False,False
SV099,99,count_charac,string,Sai logic - thay đổi dấu cộng thành dấu trừ trong count_charac,WA,0,3,0.0,False,False,1,9,11.11,False,False,1,13,7.69,False,False,0,13,0.0,False,False
SV100,100,ascii_value,string,Sai logic - trả về None thay vì kết quả đúng trong ascii_value,WA,0,3,0.0,False,False,0,9,0.0,False,False,0,11,0.0,False,False,0,11,0.0,False,False
